Date,high,low,close,open,volumek,gas,oil,coal,power,stock,pos,neg,trends
2021/2/4,38.46,36.92,37.49,37.76,1.38,47.64,58.84,65,49.18,407.9,0.679,1.081,33
2021/2/5,38.9,37.43,38.43,37.6,1.08,48.17,59.34,66.45,51.55,408,0.618,0.577,25
2021/2/8,39.93,38.7,38.84,39.39,2.1,53.11,60.56,68.25,55.66,409.7,0,0.14,41
2021/2/9,38.89,37.8,38.49,38.39,2.05,49.73,61.09,68.6,55.51,408.6,0.289,0.036,20
2021/2/10,39.94,37.81,39.56,38.41,3.23,47.91,61.47,68,54.81,407.8,0.599,0.044,30
2021/2/11,40.31,38.63,39,39.5,12.72,44.43,61.14,67.35,53.83,409.6,0.362,0.072,21
2021/2/12,40.5,37.4,40.28,38.61,7.62,44.85,62.43,67,53.19,412.4,0.574,0.147,23
2021/2/15,40.88,39.73,39.81,40.18,3.76,41.58,63.3,65.3,53.19,418.2,0.106,0,21
2021/2/16,40.79,39.1,39.13,39.85,5.75,42.49,63.35,65.6,49.13,417.5,0.111,0.394,22
2021/2/17,39.66,38.35,38.4,39.25,3.99,41.81,64.34,65.35,48.85,414.4,0,0.275,21
2021/2/18,38.88,38.18,38.61,38.88,2.3,44.04,63.93,65.55,49.45,411.2,0.428,0.393,19
2021/2/19,38.95,37.68,37.7,38.37,3.89,42.1,62.91,65.95,49.26,414.3,0.273,0.862,19
2021/2/22,38.41,36.8,38.26,37.73,1.03,40.03,65.24,65.95,48.45,412,0,0,28
2021/2/23,39.04,37.74,38.97,38.51,2.29,40.66,65.37,65.9,48.49,409.5,0.276,0.236,30
2021/2/24,39.64,38.59,39.45,38.75,0.35,41.18,67.04,65.7,48.86,411.8,0.58,0.165,24
2021/2/25,39.83,38.63,38.57,39.83,1.1,40.29,66.88,65.8,48.67,410.8,0.25,0.056,29
2021/2/26,38.39,37.55,37.6,38.03,4.43,39.79,66.13,66.15,48.75,403.2,0.713,0.624,20
2021/3/1,38.43,37.43,37.45,38.16,2.67,40.92,63.69,65.4,42.29,411.1,0,0,26
