date,compound,pos,neu,neg,trends
2023/2/27,-0.4261,0.026,0.88,0.093,82
2023/2/28,0.0067,0.868,4.438,0.694,80
2023/3/1,-0.4598,0.252,3.399,0.349,64
2023/3/2,0.3182,0.329,2.449,0.222,66
2023/3/3,-0.7594,0.613,4.628,0.76,62
2023/3/6,0,0,0,0,59
2023/3/7,2.038,0.527,2.473,0,58
2023/3/8,2.0203,0.667,2.25,0.083,74
2023/3/9,3.2478,1.015,4.813,0.172,81
2023/3/10,1.0319,1.449,4.628,0.921,45
2023/3/13,0,0,0,0,64
2023/3/14,1.701,0.842,3.882,0.277,71
2023/3/15,-1.4187,0.159,1.283,0.557,64
2023/3/16,1.2802,0.442,2.394,0.164,52
2023/3/17,-0.5241,0.353,3.221,0.426,51
2023/3/20,0.4215,0.074,0.926,0,53
2023/3/21,-0.5423,0.198,0.536,0.266,58
2023/3/22,0.0238,0.402,3.363,0.235,78
2023/3/23,1.2458,0.65,3.857,0.495,36
2023/3/24,-0.6381,0.453,3.813,0.735,52
2023/3/27,0.5025,0.185,1.727,0.087,64
2023/3/28,0.4588,0.308,2.594,0.097,85
2023/3/29,1.2974,0.642,2.98,0.377,62
2023/3/30,1.1767,0.506,4.302,0.191,64
2023/3/31,0.8894,0.698,4.844,0.458,46
2023/4/3,0.4939,0.089,0.911,0,67
2023/4/4,-0.34,0.038,1.872,0.089,63
2023/4/5,0.7717,0.24,0.628,0.132,58
2023/4/6,-0.1952,0.206,2.569,0.225,47
2023/4/7,1.4525,0.319,1.681,0,26
2023/4/10,0,0,0,0,38
2023/4/11,0,0,0,0,59
2023/4/12,0.2611,0.18,1.734,0.086,63
2023/4/13,0.2505,0.216,2.664,0.12,56
2023/4/14,1.5065,1.006,6.361,0.632,47
2023/4/17,-0.1531,0.043,0.9,0.057,68
2023/4/18,1.8151,0.561,3.252,0.187,87
2023/4/19,0.9999,0.64,2.036,0.323,100
2023/4/20,0.9677,0.35,1.546,0.104,99
2023/4/21,0.4481,0.812,4.51,0.678,71
2023/4/24,0,0,1,0,91
2023/4/25,-0.4782,0.355,5.128,0.517,86
2023/4/26,0.6619,0.824,5.569,0.606,65
2023/4/27,0.8694,0.954,6.355,0.692,99
2023/4/28,1.3126,0.733,4.773,0.496,73
2023/5/1,0,0,0,0,55
2023/5/2,-0.4383,0.23,2.311,0.459,71
2023/5/3,0.6404,0.525,1.944,0.53,45
2023/5/4,0.3929,0.317,3.384,0.299,62
2023/5/5,1.6255,0.858,3.634,0.508,66
2023/5/8,0,0,0,0,77
2023/5/9,0.0428,0.357,2.344,0.3,74
2023/5/10,0.7218,0.468,2.319,0.213,73
2023/5/11,0.5574,0.148,0.767,0.085,71
2023/5/12,-0.5576,0.956,5.906,1.136,67
2023/5/15,0.6369,0.164,1.766,0.069,67
2023/5/16,-0.6717,0.037,1.819,0.144,91
2023/5/17,1.5212,0.868,6.674,0.458,78
2023/5/18,0.3182,0.101,0.823,0.077,53
2023/5/19,1.8768,0.823,2.918,0.259,70
2023/5/22,0,0,0,0,73
2023/5/23,-1.7735,0.59,4.533,0.877,79
2023/5/24,1.0914,0.311,1.55,0.139,75
2023/5/25,0.7947,0.55,4.139,0.312,75
2023/5/26,-1.1955,0.607,4.624,0.769,54
2023/5/29,0,0,0,0,68
2023/5/30,1.0638,0.359,1.572,0.069,98
2023/5/31,-0.3286,0.222,1.472,0.306,78
2023/6/1,-0.0647,0.241,1.507,0.252,49
2023/6/2,1.4086,0.7,5.889,0.409,55
2023/6/5,0.296,0.081,0.919,0,71
2023/6/6,1.5507,0.42,1.58,0,78
2023/6/7,0.8463,0.485,1.232,0.283,82
2023/6/8,0.2967,0.254,2.597,0.148,50
2023/6/9,3.1186,0.754,5.215,0.032,43
2023/6/12,0,0,0,0,75
2023/6/13,-0.2123,0.24,1.485,0.275,66
2023/6/14,-0.4791,0.197,2.534,0.267,70
2023/6/15,0.7192,0.639,4.839,0.523,68
2023/6/16,1.4811,0.861,3.738,0.401,71
2023/6/19,0,0,0,0,70
2023/6/20,1.576,0.994,6.38,0.627,78
2023/6/21,1.3725,0.397,2.549,0.054,69
2023/6/22,-0.8003,0.193,2.469,0.339,90
2023/6/23,1.4206,0.799,5.754,0.445,54
2023/6/26,0,0,0,0,91
2023/6/27,1.0356,0.616,3.933,0.452,88
2023/6/28,0.9337,0.374,0.573,0.053,52
2023/6/29,-0.1765,0.163,1.627,0.21,67
2023/6/30,2.6189,0.887,4.818,0.295,48
2023/7/3,-0.7619,0.07,1.73,0.2,60
2023/7/4,-0.5819,0.118,1.55,0.332,74
2023/7/5,1.4396,0.388,2.512,0.1,49
2023/7/6,-0.4373,0.168,2.515,0.317,64
2023/7/7,1.3846,0.494,4.166,0.341,65
2023/7/10,0.2023,0.138,0.745,0.117,78
2023/7/11,1.8213,1.023,3.413,0.564,69
2023/7/12,-0.2843,0.23,1.511,0.258,68
2023/7/13,2.1932,0.622,3.267,0.111,42
2023/7/14,1.5829,0.637,5.082,0.281,51
2023/7/17,0.8658,0.25,0.672,0.078,62
2023/7/18,0.2538,0.399,1.283,0.318,71
2023/7/19,2.4635,0.849,3.967,0.184,71
2023/7/20,1.6571,0.885,5.709,0.407,77
2023/7/21,1.0345,0.769,4.684,0.549,64
2023/7/24,-1.4595,0.091,2.544,0.366,63
2023/7/25,1.4443,0.369,2.535,0.096,64
2023/7/26,-0.0814,0.357,2.125,0.518,75
2023/7/27,0.0644,0.312,1.43,0.259,71
2023/7/28,1.1993,0.533,4.143,0.324,52
2023/7/31,0.5423,0.106,0.894,0,64
2023/8/1,-0.8967,0.229,2.382,0.388,70
2023/8/2,-0.9131,0.061,0.634,0.305,42
2023/8/3,-0.7491,0.243,2.38,0.377,52
2023/8/4,0.0078,0.412,4.188,0.4,21
2023/8/7,0,0,0,0,56
2023/8/8,-0.5843,0.167,1.543,0.291,71
2023/8/9,-0.3004,0.134,1.583,0.283,72
2023/8/10,0.3706,0.663,4.704,0.632,50
2023/8/11,0.2871,0.36,3.318,0.322,33
2023/8/14,0,0,0,0,60
2023/8/15,0.1357,0.239,1.609,0.152,45
2023/8/16,0.0572,0.129,1.729,0.142,75
2023/8/17,0.3062,0.33,2.423,0.248,55
2023/8/18,2.1359,0.741,4.007,0.253,65
2023/8/21,-0.2969,0.157,1.64,0.203,75
2023/8/22,0.54,0.241,1.649,0.11,85
2023/8/23,-1.2841,0.235,3.264,0.502,56
2023/8/24,-0.8316,0,0.688,0.312,68
2023/8/25,0.9766,0.488,3.337,0.175,39
2023/8/28,0,0,0,0,65
2023/8/29,0.0258,0.035,0.965,0,77
2023/8/30,0.3137,0.431,3.184,0.385,61
2023/8/31,0.1943,0.564,2.932,0.504,54
2023/9/1,0.8367,0.621,7.805,0.576,63
2023/9/4,0.3818,0.122,0.817,0.062,71
2023/9/5,0.2323,0.442,3.154,0.403,77
2023/9/6,-0.8607,0.108,1.595,0.296,59
2023/9/7,0.789,0.538,3.066,0.397,100
2023/9/8,0.197,0.442,2.2,0.357,56
2023/9/11,0.2732,0.062,0.938,0,84
2023/9/12,2.6826,0.949,2.951,0.1,79
2023/9/13,0.8867,0.402,3.384,0.213,67
2023/9/14,1.2762,0.379,2.55,0.071,72
2023/9/15,0.729,0.156,1.765,0.079,72
2023/9/18,0,0,0,0,65
2023/9/19,0.7995,0.363,3.458,0.179,82
2023/9/20,0.983,0.806,4.661,0.534,53
2023/9/21,1.8458,0.602,4.27,0.128,56
2023/9/22,2.3154,0.689,3.28,0.031,64
2023/9/25,-0.6369,0,0.852,0.148,73
2023/9/26,-0.5434,0.331,2.255,0.414,62
2023/9/27,0.2335,0.509,3.073,0.417,70
2023/9/28,-0.4227,0.142,1.653,0.205,69
2023/9/29,-0.0629,0.373,5.144,0.482,52
2023/10/2,1.5981,0.584,1.416,0,54
2023/10/3,-1.6284,0.248,2.189,0.563,59
2023/10/4,1.5514,1.117,5.258,0.625,75
2023/10/5,2.0794,0.896,4.803,0.3,56
2023/10/6,-0.2538,0.121,5.688,0.191,57
2023/10/9,0,0.13,0.741,0.13,65
2023/10/10,0.5057,0.374,3.322,0.305,76
2023/10/11,0.7003,0.154,0.846,0,72
2023/10/12,1.7726,0.577,4.144,0.279,65
2023/10/13,2.931,0.835,4.067,0.098,55
2023/10/16,0.9522,0.391,1.509,0.1,74
2023/10/17,1.175,0.69,2.871,0.438,74
2023/10/18,-0.8024,0.568,2.826,0.606,52
2023/10/19,0,0.101,0.798,0.101,72
2023/10/20,-2.1498,0.662,7.05,1.288,54
2023/10/23,0.7717,0.155,1.845,0,56
2023/10/24,1.1026,0.864,4.551,0.584,60
2023/10/25,1.0665,0.312,1.537,0.152,83
2023/10/26,1.6555,0.459,1.439,0.102,72
2023/10/27,1.4882,0.872,3.68,0.449,59
2023/10/30,-0.8225,0.108,0.61,0.283,63
2023/10/31,-0.777,0.186,1.469,0.343,68
2023/11/1,-0.1988,0.306,3.451,0.244,73
2023/11/2,0.4588,0.096,0.865,0.039,69
2023/11/3,0.4947,0.285,4.46,0.255,56
2023/11/6,0,0,0,0,60
2023/11/7,-0.3932,0.477,3.07,0.453,73
2023/11/8,-0.0316,0.442,3.134,0.423,73
2023/11/9,1.1397,0.684,3.92,0.397,61
2023/11/10,2.6788,0.639,4.16,0.2,61
2023/11/13,-0.4462,0.11,2.689,0.201,73
2023/11/14,2.3239,1.05,7.376,0.575,90
2023/11/15,2.492,0.75,2.135,0.115,67
2023/11/16,1.8624,0.513,3.424,0.063,90
2023/11/17,1.4145,0.979,6.247,0.774,65
2023/11/20,0,0,0,0,87
2023/11/21,1.5527,0.757,5.937,0.305,89
2023/11/22,1.9338,1.228,5.248,0.524,85
2023/11/23,1.29,0.921,3.466,0.615,72
2023/11/24,2.112,0.807,6.864,0.33,54
2023/11/27,0.2023,0.057,0.943,0,77
2023/11/28,1.8556,0.58,3.288,0.13,92
2023/11/29,-0.187,0.282,2.342,0.376,100
2023/11/30,-1.7767,0.218,3.128,0.656,87
2023/12/1,0.5424,0.838,5.55,0.611,77
2023/12/4,0.886,0.246,0.754,0,88
2023/12/5,-1.0908,0.097,1.58,0.323,82
2023/12/6,-0.5369,0.491,4.653,0.857,92
2023/12/7,0.2154,0.515,2.971,0.514,88
2023/12/8,1.3205,0.917,5.506,0.577,55
2023/12/11,-0.0516,0.16,1.7,0.14,84
2023/12/12,-0.8074,0.045,1.741,0.213,96
2023/12/13,-0.7201,0.145,1.565,0.29,58
2023/12/14,0.4739,0.218,3.638,0.143,71
2023/12/15,0.7385,0.834,5.61,0.554,48
2023/12/18,-0.25,0.061,1.811,0.128,70
2023/12/19,2.2745,0.92,3.925,0.155,75
2023/12/20,2.7222,1.02,5.658,0.321,49
2023/12/21,0.2237,0.197,1.606,0.197,53
2023/12/22,2.7228,1.182,6.316,0.502,41
2023/12/25,0,0,0,0,18
2023/12/26,0,0,0,0,25
2023/12/27,0,0,0,0,30
2023/12/28,0,0,0,0,38
2023/12/29,0,0,0,0,34
2024/1/1,0,0,0,0,0
2024/1/2,0.296,0.059,0.941,0,53
2024/1/3,0.881,0.399,1.552,0.049,74
2024/1/4,0.4215,0.129,2.781,0.091,42
2024/1/5,1.8017,1.048,6.093,0.859,33
2024/1/8,0,0,0,0,61
2024/1/9,-0.0258,0.155,1.65,0.195,61
2024/1/10,1.1972,0.392,1.501,0.107,61
2024/1/11,1.2485,0.296,2.624,0.08,79
2024/1/12,1.5267,0.874,5.673,0.452,60
2024/1/15,0.7506,0.185,2.757,0.058,66
2024/1/16,3.6468,1.037,5.696,0.266,64
2024/1/17,-0.0738,0.363,1.195,0.441,61
2024/1/18,-2.6611,0.136,5.038,0.826,75
2024/1/19,-0.9176,0.137,2.578,0.286,45
2024/1/22,0.2732,0.065,0.901,0.034,72
2024/1/23,-0.4923,0.521,5.864,0.615,85
2024/1/24,2.1081,0.842,4.786,0.371,74
2024/1/25,0.3247,0.605,3.982,0.412,59
2024/1/26,0.4163,0.922,6.315,0.763,71
2024/1/29,0.7968,0.224,1.737,0.039,57
2024/1/30,0.8419,0.985,5.422,0.593,74
2024/1/31,1.5484,0.867,4.726,0.406,65
2024/2/1,1.7533,0.832,4.936,0.232,73
2024/2/2,0.2847,0.532,3.063,0.403,67
2024/2/5,-1.2175,0.154,2.48,0.366,76
2024/2/6,0.1814,0.29,3.406,0.304,69
2024/2/7,-0.0234,0.665,5.692,0.644,81
2024/2/8,2.0691,1.005,4.618,0.376,85
2024/2/9,0.6861,0.876,4.369,0.756,53
2024/2/12,0.3182,0.203,0.652,0.145,74
2024/2/13,-0.7042,0.396,2.095,0.509,74
2024/2/14,-0.0118,0.494,3.106,0.402,72
2024/2/15,-0.3296,0.316,4.343,0.341,75
2024/2/16,2.3583,0.746,4.014,0.24,62
2024/2/19,-0.0021,0.51,2.023,0.467,86
2024/2/20,-0.3034,0.311,2.318,0.371,78
2024/2/21,0.954,0.625,3.089,0.286,98
2024/2/22,2.4469,0.548,2.405,0.047,72
2024/2/23,-1.9693,0.647,6.175,1.178,48
